,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
0,香溪洞,55,良,25,颗粒物（PM10）
1,安康市监测站,58,良,21,颗粒物（PM10）
2,汉滨区检察院,58,良,16,颗粒物（PM10）
0,环科院,29,优,18,颗粒物（PM10）
1,马山宾馆,28,优,15,颗粒物（PM10）
2,联富花园,0,优,--,颗粒物（PM10）
3,安庆大学,31,优,20,颗粒物（PM10）
4,市人大,38,优,16,颗粒物（PM10）
5,安庆大学(对照点),59,良,36,颗粒物（PM10）
6,联富花园(停运180816),0,优,--,颗粒物（PM10）
7,安庆大学(191227更为评价点),39,优,19,颗粒物（PM10）
8,市人大(启用180816),0,优,17,颗粒物（PM10）
0,深沟寺,30,优,3,颗粒物（PM10）
1,明达新区,31,优,3,颗粒物（PM10）
2,千山,0,优,9,颗粒物（PM10）
3,太阳城,0,优,9,颗粒物（PM10）
4,太平,30,优,3,颗粒物（PM10）
5,铁西三道街,38,优,7,颗粒物（PM10）
6,铁西工业园区,42,优,5,颗粒物（PM10）
0,虹机厂子校,0,优,--,颗粒物（PM10）
1,市一中,0,优,--,颗粒物（PM10）
2,铁路子校,0,优,--,颗粒物（PM10）
3,龙岩子校,0,优,--,颗粒物（PM10）
4,伍家关(对照点),0,优,13,颗粒物（PM10）
5,凤凰山,32,优,22,颗粒物（PM10）
6,金钟山,0,优,24,颗粒物（PM10）
7,娄家坡,38,优,26,颗粒物（PM10）
0,棉研所,288,重度污染,238,颗粒物（PM10）
1,红庙街,148,轻度污染,46,颗粒物（PM10）
2,银杏小区,143,轻度污染,43,颗粒物（PM10）
3,环保局,0,优,--,颗粒物（PM10）
4,铁佛寺,0,优,--,颗粒物（PM10）
5,信访局,157,中度污染,56,颗粒物（PM10）
6,棉研所(对照点),154,中度污染,67,颗粒物（PM10）
7,信访局(启用171207),213,重度污染,163,颗粒物（PM10）
8,安钢职工学校(启用200115),243,重度污染,193,颗粒物（PM10）
9,安钢职工学校,150,轻度污染,41,颗粒物（PM10）
0,市监测站,52,良,26,颗粒物（PM10）
1,市中心血站,0,优,--,颗粒物（PM10）
0,豫源饭店,117,轻度污染,17,颗粒物（PM10）
1,动力公司,64,良,16,颗粒物（PM10）
0,游泳馆,54,良,20,颗粒物（PM10）
1,华电二区,53,良,18,颗粒物（PM10）
2,接待中心,0,优,17,颗粒物（PM10）
3,地表水厂,65,良,12,颗粒物（PM10）
4,胶片厂,54,良,11,颗粒物（PM10）
5,监测站,71,良,17,颗粒物（PM10）
0,庙沟村,50,优,20,颗粒物（PM10）
1,竹园沟,48,优,27,颗粒物（PM10）
2,三陆医院,50,优,32,颗粒物（PM10）
3,监测站,47,优,18,颗粒物（PM10）
4,技工学校,52,良,18,颗粒物（PM10）
5,陈仓环保局,55,良,26,颗粒物（PM10）
6,文理学院,50,优,21,颗粒物（PM10）
7,三迪小学,64,良,23,颗粒物（PM10）
0,市环境监测站,63,良,19,颗粒物（PM10）
1,包百大楼,0,优,--,颗粒物（PM10）
2,东河城环局,62,良,17,颗粒物（PM10）
3,青山宾馆,64,良,15,颗粒物（PM10）
4,惠龙物流,61,良,22,颗粒物（PM10）
5,东河鸿龙湾,58,良,20,颗粒物（PM10）
6,昆区政府(启用200107),287,重度污染,237,颗粒物（PM10）
7,昆区政府,63,良,29,颗粒物（PM10）
0,牛尾岭水库,33,优,10,颗粒物（PM10）
1,海滩公园,42,优,1,颗粒物（PM10）
2,新市环保局,27,优,10,颗粒物（PM10）
3,北海工业园,28,优,10,颗粒物（PM10）
0,工人疗养院,127,轻度污染,47,颗粒物（PM10）
1,百货大楼,97,良,41,颗粒物（PM10）
2,二水厂,0,优,--,颗粒物（PM10）
3,蚌埠学院,122,轻度污染,41,颗粒物（PM10）
4,淮上区政府,116,轻度污染,46,颗粒物（PM10）
5,高新区,127,轻度污染,48,颗粒物（PM10）
6,蚌埠田家炳中学,108,轻度污染,39,颗粒物（PM10）
0,经开区环保局,32,优,12,颗粒物（PM10）
1,高开区环保局,0,优,--,颗粒物（PM10）
2,马坡岭,32,优,14,颗粒物（PM10）
